tax_percentage,fare,driver_fee,drive_time_min,bus_time_min,drive_cost,bus_cost,index,Transit%,Utotal,Umin,Gini,Budget,Cost,Tax,Fare,Driver fee,h,s,S,lc,lb,vbe,Ubhat,Uchat,ehat
0.5,0.75,0.0,25.5,68.72,5.43,0.75,0,0.1251,865.0972,0.2093,0.1544,230.1405,230.1405,67.218,50.7225,0.0,0.3436,0.223,0.4,19.6106,1.7455,18.26,0.2147,0.2147,37.9053
0.5,0.75,0.5,19.11,57.43,5.93,0.75,1,0.3928,977.3733,0.3212,0.1086,502.8114,502.8114,67.218,159.2803,164.1131,0.1446,0.223,0.4,26.1638,5.9354,20.2675,0.3429,0.3429,52.2281
0.5,0.75,1.0,18.02,54.64,6.43,0.75,2,0.505,973.0646,0.3386,0.0957,651.7612,651.7612,67.218,204.7704,267.5728,0.1085,0.223,0.4,27.7424,6.9004,21.0068,0.3665,0.3665,58.5016
0.5,1.25,0.0,23.16,64.12,5.43,1.25,3,0.2098,911.2723,0.2552,0.1365,321.2073,321.2073,67.218,141.7893,0.0,0.2406,0.223,0.4,21.5907,3.7223,18.7874,0.271,0.271,42.3109
0.5,1.25,0.5,19.01,54.51,5.93,1.25,4,0.4049,978.7941,0.3153,0.1096,613.8679,613.8679,67.218,273.5831,160.8668,0.1146,0.223,0.4,26.3044,6.8167,21.1499,0.3481,0.3481,52.8862
0.5,1.25,1.0,17.97,51.99,6.43,1.25,5,0.5098,971.9173,0.3287,0.0991,788.9157,788.9157,67.218,344.4886,265.0091,0.0866,0.223,0.4,27.825,7.6743,21.944,0.3692,0.3692,58.8791
0.5,1.75,0.0,22.4,60.33,5.43,1.75,6,0.2371,926.136,0.2617,0.1326,403.7329,403.7329,67.218,224.3149,0.0,0.1851,0.223,0.4,22.322,4.9529,19.5842,0.2874,0.2874,43.7296
0.5,1.75,0.5,19.06,52.48,5.93,1.75,7,0.3989,971.5802,0.3019,0.1149,719.2884,719.2884,67.218,377.3986,162.4718,0.0954,0.223,0.4,26.2342,7.4455,21.8322,0.3455,0.3455,52.5608
0.5,1.75,1.0,18.08,50.56,6.43,1.75,8,0.5,973.1771,0.3111,0.1071,922.743,894.2952,67.218,473.025,270.3,0.075,0.223,0.4,27.6562,8.1173,22.4844,0.3636,0.3636,58.1
1.0,0.75,0.0,21.72,62.79,5.43,0.75,9,0.2614,934.549,0.2827,0.1257,352.619,352.619,134.436,105.983,0.0,0.217,0.223,0.4,23.0185,4.2117,19.0161,0.2965,0.2965,45.0245
1.0,0.75,0.5,18.8,55.79,5.93,0.75,10,0.4279,982.4324,0.3287,0.1027,574.7665,574.7665,134.436,173.4916,154.6389,0.1244,0.223,0.4,26.5905,6.4764,20.7069,0.3527,0.3527,54.1489
1.0,0.75,1.0,17.8,53.32,6.43,0.75,11,0.5244,978.2246,0.3425,0.0917,716.3585,716.3585,134.436,212.6326,257.0899,0.0971,0.223,0.4,28.0907,7.2861,21.456,0.3722,0.3722,60.0451
1.0,1.25,0.0,21.0,58.8,5.43,1.25,12,0.2872,950.14,0.2884,0.1219,440.7382,440.7382,134.436,194.1022,0.0,0.1669,0.223,0.4,23.8116,5.4095,19.9764,0.3118,0.3118,46.4407
1.0,1.25,0.5,18.76,53.21,5.93,1.25,13,0.4331,980.2506,0.3196,0.1056,692.537,692.537,134.436,292.6684,153.2327,0.1001,0.223,0.4,26.6583,7.2521,21.5501,0.3549,0.3549,54.434
1.0,1.25,1.0,17.79,51.0,6.43,1.25,14,0.5256,973.3634,0.3304,0.0964,858.2702,858.2702,134.436,355.1711,256.4631,0.0786,0.223,0.4,28.1124,7.9778,22.3146,0.3729,0.3729,60.1374
1.0,1.75,0.0,20.98,56.44,5.43,1.75,15,0.288,948.0086,0.2799,0.1244,519.1154,519.1154,134.436,272.4794,0.0,0.1383,0.223,0.4,23.8364,6.1604,20.6056,0.3122,0.3122,46.4834
1.0,1.75,0.5,18.86,51.47,5.93,1.75,16,0.4221,970.1432,0.3039,0.1123,802.1693,802.1693,134.436,399.3266,156.2067,0.0845,0.223,0.4,26.5163,7.7958,22.1673,0.3503,0.3503,53.831
1.0,1.75,1.0,18.08,51.07,6.43,1.75,17,0.5,961.5373,0.3061,0.1089,989.961,852.6894,134.436,473.025,270.3,0.0791,0.223,0.4,27.6562,7.9566,22.2904,0.3584,0.3584,58.1
1.5,0.75,0.0,20.07,58.51,5.43,0.75,18,0.3202,965.1986,0.3074,0.1142,443.6609,443.6609,201.654,129.8069,0.0,0.1652,0.223,0.4,24.9092,5.4695,20.0743,0.3255,0.3255,48.2445
1.5,0.75,0.5,18.52,54.37,5.93,0.75,19,0.4582,985.7996,0.334,0.0981,646.0836,646.0836,201.654,185.7888,146.4408,0.1089,0.223,0.4,27.0042,6.931,21.1338,0.36,0.36,55.8109
1.5,0.75,1.0,17.58,52.16,6.43,0.75,20,0.5421,981.6979,0.3454,0.0883,781.1853,781.1853,201.654,219.8061,247.5252,0.0877,0.223,0.4,28.4343,7.6277,21.8749,0.3768,0.3768,61.4534
1.5,1.25,0.0,19.81,55.5,5.43,1.25,21,0.3294,969.0859,0.303,0.115,536.429,536.429,201.654,222.575,0.0,0.1321,0.223,0.4,25.2359,6.3835,20.9383,0.3307,0.3307,48.7497
1.5,1.25,0.5,18.52,52.1,5.93,1.25,22,0.4579,980.4515,0.3224,0.1025,769.8016,769.8016,201.654,309.4127,146.5349,0.0888,0.223,0.4,26.9992,7.6187,21.923,0.3599,0.3599,55.7919
1.5,1.25,1.0,17.61,50.14,6.43,1.25,23,0.5402,973.6848,0.3315,0.0942,927.4659,927.4659,201.654,365.0597,248.5523,0.0718,0.223,0.4,28.3961,8.2484,22.6588,0.3758,0.3758,61.3022
1.5,1.75,0.0,20.07,53.91,5.43,1.75,24,0.3203,959.1524,0.2888,0.1201,616.8795,616.8795,201.654,303.0255,0.0,0.1129,0.223,0.4,24.9144,6.9295,21.404,0.3255,0.3255,48.2528
1.5,1.75,0.5,18.66,50.61,5.93,1.75,25,0.4428,967.836,0.305,0.1102,883.3957,883.3957,201.654,418.9384,150.6033,0.0759,0.223,0.4,26.7885,8.093,22.4756,0.3537,0.3537,54.967
1.5,1.75,1.0,17.74,48.82,6.43,1.75,26,0.5292,957.9162,0.3126,0.1029,1069.0308,1069.0308,201.654,500.6791,254.4977,0.0612,0.223,0.4,28.1813,8.6823,23.1938,0.3697,0.3697,60.4268
